Item,DLC
Spinach,None
Armor,None
Hollow Heart,None
Pummarola,None
Empty Tome,None
Candelabrador,None
Bracer,None
Spellbinder,None
Duplicator,None
Wings,None
Attractorb,None
Clover,None
Crown,None
Stone Mask,None
Skull O'Maniac,None
Tirajisu,None
Torrona's Box,None
Parm Aegis,None
Karoma's Mana,None
Academy Badge,Foscari
Mini Crewmate,Among Us
Mini Engineer,Among Us
Mini Ghost,Among Us
Mini Shapeshifter,Among Us
Mini Guardian,Among Us
Mini Impostor,Among Us
Mini Scientist,Among Us
Mini Horse,Among Us
